category,name,definition
rule,Introduction,"Welcome to the Free5e Player’s Guide, brought to you by Wyrmworks Publishing. Our mission is to enhance inclusivity and accessibility in tabletop roleplaying. This guide is designed to help you create unique characters, embark on exciting adventures, and explore worlds where everyone can play, create, and share."
rule,How to Play,"Playing a tabletop roleplaying game (TTRPG) is all about imagining a character in a fantasy world and using dice to determine what happens. Here’s how it works:

**Choose a Game Master (GM). **One player is the GM, who creates the story, controls the world, and describes everything and everyone around you.

**Create Your Character.** Choose an ancestry, class, and background for your character. This is your hero in the game world!

**Playing an Encounter: **On your turn, you describe what your character does. Do you swing your sword, cast a spell, or talk to someone? To see whether you succeed, you roll a 20-sided die (d20) and add your ability score modifier and, maybe, a proficiency bonus. Higher rolls are better!

    **Grey (GM)**: The village elder has asked you to investigate a strange ruin in the nearby forest. After hours of travel, you arrive at a crumbling stone structure covered in moss. Inside, the air is damp, and faint echoes of scratching come from within the stony depths.. What do you do?

    **Susan (playing Sylvana, a halfling Bard)**: I step in quietly and take a closer look at the walls. Do I recognize any symbols or writing?

    **GM**: Make an Investigation check, using Intelligence.

    **Susan**: (Rolls d20) That’s a 12, plus 1 for Intelligence and 2 from my Investigation proficiency, so 15 total.

    **GM**: You recognize some faded symbols of an ancient order dedicated to protecting the forest. This was likely a Wodewose temple.

    **Owen (playing Osmus, a human Ranger)**: I listen closely to pinpoint where the scratching is coming from. Perception check?

    **GM**: Go ahead.

    **Owen**: (Rolls d20) I got a 10, plus 4 for Wisdom is 14.

    **GM**: The scratching is coming from behind a door at the far end of a corridor leading inside the temple.

    **Sylvana**: I cautiously open the door and peek inside.

    **GM**: The door creaks open, revealing dim light glinting off something large in the shadows. Its long, slimy tentacles sway as it shifts, and  its beak clicks. It hisses, sensing you. Perched on the ceiling, it stares down.

    **Osmus**: What is that thing? It looks dangerous!

    **GM**: It’s certainly not friendly. Roll Initiative! (Rolls d20) With its Dexterity bonus, it gets a 9.

    **Osmus:** (Rolls d20) 9, plus 3 for Dexterity is 12.

    **Sylvana**: (Rolls d20) 15! I’m first! I try to confuse it with a quick spell. I cast Vicious Mockery, shouting, ‘You look like something the forest spit out!’ It needs to make a Wisdom saving throw.

    **GM**: (Rolls for the creature) That’s a 6. It fails.

    **Sylvana**: (Rolls 1d4) It takes 3 psychic damage and has disadvantage on its next attack!

    **GM**: The creature seems momentarily stunned, its many eyes narrowing as it hisses. Osmus, your turn!

    **Osmus**: I fire an arrow at it! (Rolls d20) That’s a 17, plus 5 to hit. Does that hit?

    **GM**: Yes, that hits. Roll for damage.

    **Osmus**: (Rolls 1d8) That’s a 2, but I add my Dexterity so that’s a total 5 damage!

    **GM**: The arrow strikes true, but the creature’s tough hide absorbs some of the blow. It lunges with its tentacles!

    **GM (as the creature)**: (Rolls to attack Osmus with the tentacles) That’s a 22 to hit versus your Armor Class.

    **Osmus**: Ouch, I’ve only got 15 so that hits!

    **GM**: (Rolls for damage) You take 10 bludgeoning damage, and I need you to make a Strength saving throw to avoid being pulled in.

    **Osmus**: (Rolls d20) That’s a 14, plus 3 for Strength, so 17.

    **GM**: You hold your ground, but the creature’s tentacles are still trying to wrap around you. It’ll try again. What’s your next move?

    **Sylvana**: I step back and cast Command on the creature and shout “Flee!” to force it to flee! It needs to make a Wisdom saving throw, DC 13.

    **GM**: (Rolls for the creature) That’s a 9. It fails!

    **Sylvana**: It must use its reaction to move as far away as possible!

    **GM**: The creature screeches in pain, skittering across the ceiling to the far corner, giving you space. It looks weakened but still dangerous.

    **Osmus**: Let’s finish this!

The battle continues, with the party using teamwork and clever spells to face down the fearsome creature!

In every game, describe your actions, roll dice to succeed, and react to the unfolding story. The rules guide you, but the fun comes from your shared stories. Let your imagination soar!"
rule,Creating a Character,"As a player, begin by creating a character on the character sheet in the back of this book or a color-coded one at [LINK]. If you're using a paper copy, we recommend writing in an erasable medium like pencil.

1. Think of a fantasy character concept that you'd like to play
2. Choose your class
3. Choose your ancestry
4. Choose your heritage
5. Choose your background
6. Determine ability scores
7. Choose your starting equipment
8. Choose starting spells if applicable
9. Add details like appearance, personality, etc. Consider drawing a picture of your character. It doesn't have to be fancy! It's just for your friends! (If you'd like to commission a professional portrait of your character, check the credits of this book for some great artists who love illustrating characters!)"
Creating a Character,Classes,"{**Class Name Changes**

Some class names in Free5e have been updated to remove outdated or problematic references while staying true to their themes. They use the same game mechanics as the original classes.

* **Barbarian → Dreadnought**: Replacing a derogatory cultural slur
* **Druid → Wodewose**: Removed inaccurate and appropriated portrayal of real-world religion
* **Monk → Adept**: Expanding the concept without appropriating a cultural tradition
* **Paladin → Vanguard**: Removing the association with a real-world religious conflict}"
Classes,Dreadnought,"Unstoppable in battle, Dreadnoughts draw strength from raw emotion, turning fury and resilience into unmatched combat prowess."
Dreadnought,Class Features,"As a Dreadnought, you gain the following class features."
Class Features,Hit Points,"**Hit Dice:** 1d12 per Dreadnought level

**Hit Points at 1st Level:** 12 + your Constitution modifier

**Hit Points at Higher Levels:** 1d12 (or 7) + your Constitution modifier per Dreadnought level after 1st"
Class Features,Proficiencies,"**Armor:** Light armor, medium armor, shields

**Weapons:** Simple weapons, martial weapons

**Tools:** None

**Saving Throws:** Strength, Constitution

**Skills:** Choose two from Animal Handling, Athletics, Intimidation, Nature, Perception, and Survival"
Class Features,Equipment,"Level | Proficiency Bonus | Features | Rages | Rage Damage
1st | +2 | Rage, Unarmored Defense | 2 | +2
2nd | +2 | Reckless Attack, Danger Sense | 2 | +2
3rd | +2 | Dreadnought Path | 3 | +2
4th | +2 | Ability Score Improvement | 3 | +2
5th | +3 | Extra Attack, Fast Movement | 3 | +2
6th | +3 | Path feature | 4 | +2
7th | +3 | Feral Instinct | 4 | +2
8th | +3 | Ability Score Improvement | 4 | +2
9th | +4 | Brutal Critical (1 die) | 4 | +3
10th | +4 | Path feature | 4 | +3
11th | +4 | Relentless | 4 | +3
12th | +4 | Ability Score Improvement | 5 | +3
13th | +5 | Brutal Critical (2 dice) | 5 | +3
14th | +5 | Path feature | 5 | +3
15th | +5 | Persistent Rage | 5 | +3
16th | +5 | Ability Score Improvement | 5 | +4
17th | +6 | Brutal Critical (3 dice) | 6 | +4
18th | +6 | Indomitable Might | 6 | +4
19th | +6 | Ability Score Improvement | 6 | +4
20th | +6 | Primal Champion | Unlimited | +4"
Class Features,Rage,"In battle, you fight with primal ferocity. On your turn, you can enter a rage as a bonus action.

While raging, you gain the following benefits if you aren’t wearing heavy armor:

    ●  	You have advantage on Strength checks and Strength saving throws.

    ●  	When you make a melee weapon attack using Strength, you gain a bonus to the damage roll that increases as you gain levels as a Dreadnought, as shown in the Rage Damage column of the Dreadnought table.

    ●  	You have resistance to bludgeoning, piercing, and slashing damage.

If you are able to cast spells, you can’t cast them or concentrate on them while raging.

Your rage lasts for 1 minute. It ends early if you are knocked unconscious or if your turn ends and you haven’t attacked a hostile creature since your last turn or taken damage since then. You can also end your rage on your turn as a bonus action.

Once you have raged the number of times shown for your Dreadnought level in the Rages column of the Dreadnought table, you must finish a long rest before you can rage again."
