Term,Usage & Notes,de-DE
aberration,,
ability check,,Attributswurf
ability modifier,,Attributsmodifikator
ability score,,Attributswert
abjuration,,Bannmagie
acid,,Säure
acrobatics,,Akrobatik
action,,Aktion
adept,,Adept
advantage,,
adventure,,
alignment,,
ally,,
ammunition,,
ancestry,,
animal handling,,
arcana,,
area of effect,,
armor class,,
associated phrase,,
astral,,
at higher levels,,
at will,,
athletics,,
attack,,
attack (noun),,
attack (verb),,
attack roll,,
attitude,,
attune,,
attunement,,
background,,
bard,,
beast,,
blinded,,
blindsight,,
bloodied,,
bludgeoning,,
bonus,,
bonus action,,
boon,,
bright light,,
burrow,,
campaign,,
cantrip,,
carrying capacity,,
cast (a spell),,
casting time,,
category,,
celestial,,
challenge rating,,
character sheet,,
charisma,,
charmed,,
cleric,,
climb,,
cold,,
combat,,
components,,
concentration,,
condition,,
conductor,,
cone,,
conjuration,,
constitution,,
construct,,
consumed,,
crawl,,
creature,,
creature type,,
critical hit,,
critical miss,,
cube,,
culture,,
curses,,
cylinder,,
damage,,
damage roll,,
damage threshold,,
damage type,,
darkness,,
darkvision,,
dash,,
dead,,
deafened,,
deal,damage,
death saving throw,,
deception,,
dexterity,,
dice,plural,
die,singular,
difficult terrain,,
difficulty class,,
dim light,,
disadvantage,,
disengage,,
dispelled,,
divination,,
dodge,,
doff,,
don,,
draconic,,
dragon,,
dragonborn,,
dragonfire,fire produced by a dragon’s breath weapon,
dragonkind,,
draw,,
dreadnought,,
drop (to x hit points),,
duration,,
dwarf,,
dwarven (adjective),,
dwarves (not dwarfs),,
dwarvish (language),,
eldritch,,
elemental,,
elf,,
elven,adjective,
elvish (language),,
emanation,,
enchantment,,
encounter,,
end (of a turn/of each turn),,
enemy,,
ethereal,,
evocation,,
exhaustion,,
experience points,,
expertise,,
extradimensional (adjective),,
extraplanar (adjective),,
fail (a check),,
familiar,,
fey,,
fiend,,
fighter,,
finesse,,
finish (a rest),,
fire,,
fly,,
focus,,
force,,
frightened,,
gain (temp hp),,
gargantuan,,
giant,,
giantkind,,
glyph,,
gnome,,
gnomish (language),,
goblinkin,,
goblinoid,,
grappled,,
grapplinggrapple,,
halfling,,
hazard,,
healing,,
heavily obscured,,
hell-spawned (adjective),,
hellspawn (noun),,
help,,
hide,,
high jump,,
history,,
hit (with an attack),,
hit dice,,
hit points,,
hover,,
huge,,
human,,
humanoid,,
illusion,,
illusions,,
immunity,,
improvised weapons,,
incapacitated,,
increase (an ability score),,
influence,,
initiative,,
insectile (not insectoid),,
insight,,
inspiration,,
instantaneous,,
intelligence,,
interplanar (adjective),,
intimidation,,
invisible,,
jump,,
keyword,,
large,,
lightly obscured,,
lightning,,
line,,
lock pick (noun),,
long jump,,
long rest,,
magic,,
magic item,,
magic-user,,
make (a check),,
martial,,
material,,
maximum hit points,,
medicine,,
medium,,
melee,,
metamagic,,
miss (with an attack),,
mixed ancestry,,
monster,,
monstrosity,,
movement,,
nature,,
necromancy,,
necrotic,,
non-player character,,
nonmagical,,
object,,
observe,,
occupied space,,
ooze,,
opportunity attack,,
orc,,
paralyzed,,
passive perception,,
patron,,
per day,,
perception,,
performance,,
persuasion,,
petrified,,
pickaxe,,
piercing,,
pinpoint,,
plane,,
planes of existence,chapter title,Die Ebenen der Existenz
plant,,
player,,
player character,,
poison,,
poisoned,,
possession,,
proficiency,,
proficiency bonus,,
prone,,
properties,,
psychic,,
radiant,,
rage,,
range,,
ranged,,
reach,,
reaction,use your reaction to,
ready,,
ready (an action),,
reduce (a target to x hp),,
regain (hp),,
religion,,
resistance,,
restore (hp),,
restrained,,
ritual,,
rogue,,
roleplay/roleplaying,,
round,,
round down,,
rulebook,,
save,,
save dc,,
saving throw,,
school of magic,,
score ( a critical hit),,
scry/scries/scried/scrying/scryer (one who scries),,
search,,
sellsword,,
sense,,
shapechange/shapechanger,,
shapeshifter,,
shapeshifting,,
short rest,,
simple,,
simultaneous effects,,
size,,
slashing,,
sleight of hand,,
small,,
somatic,,
space,,
speed,,
spell,,
spell attack modifier,,
spell duel,,
spell scroll,,
spell trap,,
spell ward,,
spell-shield,,
spellbook,,
spellcaster,,
spellcaster/spellcasting,,
spellcasting,,
spellcraft (noun),,
spellfire,,
sphere,,
stable,,
stablemaster,,
staffs (not staves),,
stat block,,
stealth,,
strength,,
study,,
stunned,,
subclass,,
succeed (a check),,
summon,,
surprise,,
survival,,
swim,,
swordmaster,,
swordsmith,,
take (an action),,
take (an attack),,
take (damage),,
target,,
tavernkeeper,,
telepathy,,
teleportation,,
temporary hit points,,
tenant,,
tenet,,
thrown,,
thunder,,
tiefling,,
timeline,,
tiny,,
titanic,,
tools,,
transmutation,,
tremorsense,,
truesight,,
turn,,
unarmed strike,,
unconscious,,
undead,,
unoccupied space,,
use (a feature to),,
use (a feature),,
use (a spell slot),,
use (an action to),,
use (an action),,
utilize,,
vanguard,,
vehiclemount,,
verbal,,
versatile,,
vulnerability,,
war band (not warband),,
warlock,,
weaponsmith,,
wielding,,
wisdom,,
wizard,,
wodewose,,
worshiped/worshiper/worshiping,,
