Order,Filename,Section,Chapter directory,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path
-1,Free5e Logo,,00_Cover,"A logo featuring a coiling, serpentine dragon outline rendered in blue scale pattern, with a stylized gold wordmark ""Free5e"" centered within its body. The dragon's head has gold accents on its eyes and horn.",Duofocus,https://www.instagram.com/duofocusp/,"Free5e Logo © 2025 Wyrmworks Publishing by Duofocus (https://www.instagram.com/duofocusp/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/00_Cover/Free5e Logo
0,GM Book,Cover,00_Cover,"a battle scene where a warrior wearing a tikbalang-inspired helmet and firing an arrow from a bow engages with a grotesque, pink, merclops with large claws that's climbing up a lighthouse, as a dragonborn shoots a ray of frost from their crutch and the top of the lighthouse plummets toward the sea",Danilo E. Valdez Jr.,https://daniloevaldez.artstation.com/,"GM Book © 2025 Wyrmworks Publishing by Danilo E. Valdez Jr. (https://daniloevaldez.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/00_Cover/GM Book
1,Roselysium_Introduction_transparent,Introduction,01_Introduction,"A small group of three adventurers featuring a humanoid cleric, goblin-ish rogue, and humanoid fighter is facing off against a cloaked figure looming over their minions. The group of minions features a dragon, a cyclops and a wolf.",Roselysium,https://roselysium.carrd.co/,"Roselysium_Introduction_transparent © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/01_Introduction/Roselysium_Introduction_transparent
2,Finding Players,Building a TTRPG Group,02_Starting_a_Campaign,"A bulletin board with scattered pinned notes, including a UFO doodle, a d20 over a calendar grid, a dragon sketch, and a scroll with the Free5e logo.",Dale Critchley,https://wyrmworkspublishing.com,"Finding Players is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/02_Starting_a_Campaign/Finding Players
3,,RPG Preparation Process,02_Starting_a_Campaign,,Dale Critchley,https://wyrmworkspublishing.com," © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
4,the-gods-of-andovir-qr-code,Gods and Religion,02_Starting_a_Campaign,https://wyrmworkspublishing.com/lair/andovir/the-gods-of-andovir/,Public Domain,https://wyrmworkspublishing.com/lair/andovir/the-gods-of-andovir/,"the-gods-of-andovir-qr-code is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/02_Starting_a_Campaign/the-gods-of-andovir-qr-code
5,,Session Zero Checklist,02_Starting_a_Campaign,,Dale Critchley,https://wyrmworkspublishing.com," © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
6,8 steps,GM Prep in Eight Steps,03_Preparing_Quests_and_Adventures,"A stylized checklist with horizontal bars and checkboxes. Each row shows an icon: a group of 5 people, a treasure map, a ruined stone tower, a goblin holding a sword, a flying dragon, and a long rapier. Some checkboxes are marked while others are empty.",Dale Critchley,https://wyrmworkspublishing.com,"8 steps © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/8 steps
7,ruins-7369328_1920,Develop Fantastic Locations,03_Preparing_Quests_and_Adventures,"People walk and sit among massive broken stone blocks inside a roofless hall lined with tall columns, with more ruined structures visible beyond",Public Domain,,"ruins-7369328_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/ruins-7369328_1920
8,Free5e NPCs,Outline Important NPCs,03_Preparing_Quests_and_Adventures,"Five figures side by side: one with curved horns, one wearing a headband, one with pointed ears, one with long curly hair and a cap, and one with a turban and long beard.",Dale Critchley,https://wyrmworkspublishing.com,"Free5e NPCs © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Free5e NPCs
9,chest-1294559_1920,Select Rewards,03_Preparing_Quests_and_Adventures,a closed treasure chest with metal bands and a central latch.,Public Domain,,"chest-1294559_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/chest-1294559_1920
10,city-7912320_1920,Urban Adventures,04_Running_Game_Sessions,"A crowded stone street with people standing, talking, and playing instruments; a dog walks in the foreground, and arched doorways and high walls fill the background.",Public Domain,,"city-7912320_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/city-7912320_1920
11,castle-8111206_1920 or building-2027573_1920,Castles and Keeps or Urban filler,???,"A large castle with many towers, walls, and a fortified gatehouse, A large multi-level stone building with many towers, spires, small flags, and a tall central tower rising above the rest.",Public Domain,,"castle-8111206_1920 or building-2027573_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/???/castle-8111206_1920 or building-2027573_1920
