Order,Filename,Section,Chapter directory,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path
-1,Free5e Logo,,00_Cover,"A logo featuring a coiling, serpentine dragon outline rendered in blue scale pattern, with a stylized gold wordmark ""Free5e"" centered within its body. The dragon's head has gold accents on its eyes and horn.",Duofocus,https://www.instagram.com/duofocusp/,"Free5e Logo © 2025 Wyrmworks Publishing by Duofocus (https://www.instagram.com/duofocusp/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Monstrous_Manuscript/00_Cover/Free5e Logo
0,Monster Book,Cover,00_Cover,"a muscular, green-skinned warrior of mixed dwarf and orc ancestry fleeing from a massive, bulette that is bursting out of the earth and rubble, mountains in the background",Danilo E. Valdez Jr.,https://daniloevaldez.artstation.com/,"Monster Book © 2025 Wyrmworks Publishing by Danilo E. Valdez Jr. (https://daniloevaldez.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Monstrous_Manuscript/00_Cover/Monster Book
1,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
2,,,,,,," is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",
3,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
4,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
5,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
6,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
7,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
8,,,,,,," © 2025 Wyrmworks Publishing by  () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
