English	Spanish	SRD?
aberration	aberración	si
Ability Check	prueba de habilidad	Si
Ability Modifier	modificadores de característica	Si
Ability Score	puntuaciones de características	There are multiple translations in the SRD: I choose this one for consistancy
Abjuration	Abjuración	No
Acid	ácido	Si
Acrobatics	Acrobacias	Si
Action	una acción	Si
Adept	adepto	No
advantage	ventaja	si
adventure	aventura	si
alignment	alineamiento	si
ally	aliado	si
ammunition	munición	si
ancestry	ascendencia	There are multiple translations in the SRD: I choose this one for consistancy
Animal Handling	trato con animales	Si
Arcana	conocimiento arcano	Si
area of effect	Área de efecto	si
armor class	Clase de Armadura	si
astral	astral	si
At Higher Levels	a niveles superiores	Si
at will	a voluntad	si
Athletics	atletismo	Si
Attack	atacar/ataque	Si
attack (noun)	un ataque	si
attack (verb)	atacar	si
attack roll	tirada de ataque	si
attitude	actitud	si
attune	sintonizar	no
attunement	sintonización	no
background	trasfondo	si
bard	bardo	si
beast	bestia	si
Blinded	queda cegado	There are multiple translations in the SRD: I choose this one for consistancy
Blindsight	visión ciega	Si
Bloodied	ensangrentado	No
Bludgeoning	contundente	Si
bonus	adicional	si
bonus action	acción adicional	si
boon	beneficio	no
bright light	luz brillante	si
Burrow	excavar	No
campaign	campaña	no
Cantrip	truco	Si
carrying capacity	capacidad de carga	si
cast (a spell)	lanzar (un conjuro)	si
Casting Time	tiempo de lanzamiento	Si
Category	categoría	Si
celestial	celestial	si
challenge rating	valor de desafio	si
character sheet	Hoja de personaje	si
Charisma	Carisma	Si
Charmed	hechizado	There are multiple translations in the SRD: I choose this one for consistancy
class	clase	si
cleric	clérigo	si
Climb	trepar	Si
climb	trepar	si
Cold	frío 	Si
combat	combate	si
Components	componentes	Si
concentration	concentración	si
Condition	condición	No
Conductor	director	No
cone	cono	si
Conjuration	conjuración	No. Possible concern: just a spell is a conjuro, asi q conjuracion is just “spell casting”….
Constitution	Constitución	Si
construct	autómotas	si
consumable	consumible	si
consumed	se consume(n)	si
Crawl	arrastrarse	Si
Creature	criatura	Si
Creature Type	tipo de criatura	Si
Critical Hit	un impacto crítico	Changed from SRD.
Critical Miss	un errada crítico	Added.
cube	cubo	si
Culture	cultura	No
Curses	maldición	Si
cylinder	cilindro	si
Damage	daño	Si
Damage Roll	tirada de daño	Si
Damage Threshold	umbral de daño	Si
Damage Type	tipo de daño	Si
Darkness	oscuridad	Si
darkness	oscuridad	si
Darkvision	visión en la oscuridad	Si
Dash	correr	Si
Dead	muerto	Si
Deafened	queda sordo	No
deal (damage)	causar daño	si
Death Saving Throw	tirada de salvación contra muerte	Si
Deception	engaño	Si
Dexterity	destreza	Si
dice	dados	si
Difficult Terrain	Terreno difícil	Si
Difficulty Class	Clase de Dificultad	Si
dim light	luz tenue	si
Disadvantage	desventaja	Si
Disengage	destrabarse	Si
dispelled	disipado	si
Divination	adivinación	Si
Dodge	esquivar	no
Doff	quitarse la armadura	Si
Don	ponerse la armadura	Si
draconic	dracónica	si
dragon	drágon	si
dragonborn	dracónido	si
dragonfire (fire produced by a dragon’s breath weapon)	fuego de dragon	no
dragonkind	dragonidad	no
Draw	sacar (un arma)	No
dreadnought	luchador	No.
drop (to X hit points)	caer (tus puntos de gulpe caen a 0)	si
Duration	duración	si
dwarf	Enano	si
dwarven (adjective)	enana	si
dwarves (not dwarfs)	enanos	si
Dwarvish (language)	enano	Si
eldritch	sobrenatural	si
elemental	elemental	si
elf	elfo	si
elven (adjective)	elfa	si
Elvish (language)	elfo	Si
emanation	emanación	no
Enchantment	encantamiento	Si
Encounter	encuentro	Si
end (of a turn/of each turn)	el final de	si
Enemy	adversario	There are multiple translations in the SRD: I choose this one for consistancy
ethereal	etérea	si
Evocation	evocación	Si
Exhaustion	cansancio	Si
Experience Points	puntos de experiencia (PX)	Si
Expertise	pericia	Si
extradimensional (adjective)	extradimensional	si
extraplanar (adjective)	extraplanar	si
fail (a check)	fracasar	si
familiar	familiar	si
fey	feérico	si
fiend	infernales	si
fighter	guerrero	si
finesse	sutil	si
finish (a rest)	finalizar (un descanso)	si
Fire	fuego	Si
Fly	Volar	Si
Focus	foco	No
Force	fuerza	Si
Frightened	asustado	Si
gain (temp HP)	recibir (puntos de golpe temporales – el opuesto es conferir) 	si
